"filename", "language", "JSON", "comment", "blank", "total"
"/home/anani/Source code/active /webstore-api/src/dataBase/mock/RandomusersData.json", "JSON", -7002, 0, 0, -7002
"Total", "-", -7002, 0, 0, -7002
